date,county,perc_non_home,perc_non_home_ma7
2020-02-22,Duval,20.4987095845674,26.7416242801847
2020-02-23,Dade,15.9544576302717,28.1413327785239
2020-02-23,Duval,14.9356404626667,27.1896381225279
2020-02-24,Dade,32.6473776580578,28.1387437136363
2020-02-24,Duval,31.2241113447265,27.4359931530302
2020-02-25,Dade,21.6076010778692,28.2167783336591
2020-02-25,Duval,22.8849274066924,27.7666137412123
2020-02-26,Dade,33.5994565445636,28.2832682698785
2020-02-26,Duval,32.9357313598544,28.0677335543722
2020-02-27,Dade,34.6607861094677,27.843882837427
2020-02-27,Duval,35.8291154513316,27.640593272477
2020-02-28,Dade,36.1153951287944,27.5326179257422
2020-02-28,Duval,36.0580605786472,27.3467246681708
2020-02-29,Dade,23.3978037401252,29.4442034939141
2020-02-29,Duval,22.6065482766867,29.2576812884155
