date,smooth_ma7,smooth_ma14,unsmooth
2020-03-31,8.26881097945748,8.39225552065903,11.7595150982404
2020-04-01,7.6580805772934,7.64922072350371,5.91654402557163
2020-04-02,6.99034887617682,7.11938422594828,6.72374674988893
2020-04-03,5.955550879921,6.77390305338994,5.83978942284969
2020-04-04,5.12817928224505,6.56074470901228,3.86821732112598
2020-04-05,5.18731907605892,6.27587951404512,2.38121738686263
2020-04-06,5.16781005697786,5.81640762604743,5.19982615490771
2020-04-07,5.2789951273224,5.36150846475659,5.96791391450874
2020-04-08,5.46340884073117,5.34306332452385,6.33052258226877
2020-04-09,5.56141015191342,5.28908598004684,6.5871836163215
2020-04-10,5.67726437217386,5.38747909243712,6.61808491526148
2020-04-11,5.59483764726814,5.4633116738036,5.15911331498734
2020-04-12,5.49880757298879,5.58411672475083,3.0672265651384
